Q1,Q2,Q3,Q4,Q5,Q6,Flavor
1,1,2,1,1,1,California Pistachio Ice Cream
4,4,3,2,1,1,Fresh Alphonso Mango Ice Cream
4,1,2,2,3,2,Brown Biscuit Boba Ice Cream
2,2,4,1,3,3,Hop Scotch Butterscotch Ice Cream
2,2,4,4,4,4,California Pistachio Ice Cream
3,1,4,4,3,3,Butterscotch Ribbon Ice Cream
3,3,2,3,4,1,Butterscotch Ribbon Ice Cream
4,3,3,2,4,4,Hop Scotch Butterscotch Ice Cream
1,2,4,2,4,2,Banana 'N Strawberries Ice Cream
4,3,2,1,4,2,Chocolate Mousse Royale Ice Cream
2,2,4,4,1,2,Banana 'N Strawberries Ice Cream
1,2,4,2,3,1,Three cheers chocolate Ice Cream
3,4,3,1,4,1,Fruit Overload Ice Cream
3,3,3,2,3,1,Naughty Nutella Ice Cream
1,4,2,4,4,3,Fruit Overload Ice Cream
3,2,3,3,2,3,Cotton Candy Ice Cream
3,3,2,4,2,2,Chocolate Mousse Royale Ice Cream
1,3,3,2,2,4,Brown Biscuit Boba Ice Cream
2,4,1,1,2,2,Naughty Nutella Ice Cream
1,3,4,2,4,2,Pralines 'N Cream Ice Cream
2,4,4,4,4,2,Splish Splash Ice Cream
1,2,1,2,3,4,Three cheers chocolate Ice Cream
4,2,4,1,1,4,Dutch Chocolate Ice Cream
4,2,4,3,4,2,Gold Medal Ribbon Ice Cream
1,1,2,4,1,3,Three cheers chocolate Ice Cream
4,1,4,2,3,3,Fresh Alphonso Mango Ice Cream
1,2,3,1,3,1,Dutch Chocolate Ice Cream
4,2,4,2,2,4,Black Currant Ice Cream
4,4,2,2,1,3,Jello Mello Ice Cream
1,2,3,3,4,2,Dutch Chocolate Ice Cream
3,3,4,1,1,2,Banana 'N Strawberries Ice Cream
4,2,3,3,4,1,Fresh Very Berry Strawberry Ice Cream
2,1,2,2,4,4,Jello Mello Ice Cream
2,4,3,1,3,1,Ferrero Moments Mousse Ice Cream
1,3,3,1,3,4,Belgian Bliss Ice Cream
1,4,4,1,2,1,Gold Medal Ribbon Ice Cream
2,4,4,3,3,3,Brown Biscuit Boba Ice Cream
3,3,1,4,2,3,Shooting Star Ice Cream
2,4,4,4,3,4,California Pistachio Ice Cream
1,2,1,4,1,4,Mississippi Mud Ice Cream
3,1,2,1,4,4,Brown Biscuit Boba Ice Cream
1,1,2,2,1,4,Mississippi Mud Ice Cream
2,1,1,3,3,4,Cotton Candy Ice Cream
3,4,3,2,1,3,Vanilla Ice Cream
4,4,3,4,4,3,Fresh Alphonso Mango Ice Cream
3,1,3,4,2,3,Gold Medal Ribbon Ice Cream
4,4,4,2,3,4,Chocolate Almond Praline Ice Cream
1,3,3,3,1,1,Gold Medal Ribbon Ice Cream
1,1,3,2,3,3,Fresh Alphonso Mango Ice Cream
3,1,4,3,1,1,Black Currant Ice Cream
2,3,4,4,4,3,Gold Medal Ribbon Ice Cream
4,4,4,2,3,1,Mint Milk Chocolate Chips Ice Cream
